Symbol,Company,Market,Industry,Sector,Auditor,Auditor_Original,Audit_fee,Audit_fee(Sub),Other_fee,Other_fee(Sub),Totat_audit_fee,Totat_other_fee,รวมสินทรัพย์,รายได้จากการดำเนินงาน
THG,บริษัท ธนบุรี เฮลท์แคร์ กรุ๊ป จำกัด (มหาชน),SET,บริการ,การแพทย์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,4000000,7226000,,3000,11226000,3000,"20,500,000,000.00","9,100,000,000.00"
THIP,บริษัท ทานตะวันอุตสาหกรรม จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,2478000,773430,23000,,3251430,23000,"4,350,000,000.00","4,830,000,000.00"
THMUI,บริษัท ไทยมุ้ย คอร์ปอเรชั่น จำกัด (มหาชน),mai,บริการ,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,3020000,,,,3020000,,"643,000,000.00","445,000,000.00"
THRE,บริษัท ไทยรับประกันภัยต่อ จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพรซ์วอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"3,800,000","2,350,000",0,0,"6,150,000",0,"6,750,000,000.00","4,340,000,000.00"
THREL,บริษัท ไทยรีประกันชีวิต จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"3,750,000.00",,"730,000.00",,"3,750,000.00","730,000.00","2,370,000,000.00","2,580,000,000.00"
TIDLOR,บริษัท ติดล้อ โฮลดิ้งส์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"DELOITTE TOUCHE TOHMATSU JAIYOS AUDIT CO., LTD.",บริษัท ดีลอยท์ ทู้ช โธมัทสุ ไชยยศ สอบบัญชี จำกัด,"3,585,000",,"80,000",,"3,585,000","80,000","113,000,000,000.00","23,400,000,000.00"
TIF1,กองทุนรวมอสังหาริมทรัพย์ไทยอินดัสเตรียล 1,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,,บริษัท เอส พี ออดิท จำกัด,"530,000.00",,,,"530,000.00",0,"967,000,000.00","67,922,547.00"
TIGER,บริษัท ไทย อิงเกอร์ โฮลดิ้ง จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,"AST MASTER CO., LTD.",บริษัท เอเอ็นเอส ออดิท จำกัด,,,,,"2,220,000",,"858,000,000.00","617,000,000.00"
TIPCO,บริษัท ทิปโก้ฟูดส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,1250000,2150000,415845,2040,3400000,417885,"5,420,000,000.00","1,970,000,000.00"
TIPH,บริษัท ทิพย กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด และสำนักงานสอบบัญชีอื่น,"2,630,000","10,982,000",0,0,"13,612,000",0,"39,100,000,000.00","34,400,000,000.00"
TISCO,บริษัท ทิสโก้ไฟแนนเชียลกรุ๊ป จำกัด (มหาชน),SET,ธุรกิจการเงิน,ธนาคาร,EY OFFICE LIMITED,N/A,,,,,,,"291,000,000,000.00","20,600,000,000.00"
TITLE,บริษัท ร่มโพธิ์ พร็อพเพอร์ตี้ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,950,000","1,265,000",0,0,"3,215,000",0,"16,800,000,000.00","2,910,000,000.00"
